,Open,High,Low,Close,Volume
2024-05-03,180.35379660091758,182.0072840105172,178.5823857121668,180.31723211760254,39484496.23647785
2024-05-04,180.54477011204062,182.19845534648994,178.77236024014337,180.50749903845553,39420197.500439405
2024-05-05,180.73574362316367,182.38962668246313,178.96233476811994,180.69776595930898,39355898.76440072
2024-05-06,180.92671713428672,182.58079801843587,179.15230929609697,180.88803288016197,39291600.028362036
2024-05-07,181.11769064540977,182.77196935440907,179.34228382407355,181.07829980101496,39227301.29232359
2024-05-08,181.3086641565328,182.9631406903818,179.53225835205012,181.2685667218684,39163002.556284904
2024-05-09,181.49963766765586,183.154312026355,179.7222328800267,181.4588336427214,39098703.82024622
2024-05-10,181.6906111787789,183.34548336232774,179.91220740800327,181.6491005635744,39034405.084207535
2024-05-11,181.88158468990196,183.53665469830094,180.10218193597984,181.83936748442784,38970106.34816909
2024-05-12,182.072558201025,183.72782603427368,180.29215646395642,182.02963440528083,38905807.6121304
2024-05-13,182.26353171214805,183.91899737024687,180.48213099193345,182.21990132613428,38841508.87609172
2024-05-14,182.4545052232711,184.1101687062196,180.67210551991002,182.41016824698727,38777210.140053034
2024-05-15,182.64547873439415,184.3013400421928,180.8620800478866,182.60043516784026,38712911.40401459
2024-05-16,182.8364522455172,184.49251137816555,181.05205457586317,182.7907020886937,38648612.6679759
2024-05-17,183.02742575664024,184.68368271413874,181.24202910383974,182.9809690095467,38584313.93193722
2024-05-18,183.2183992677633,184.87485405011148,181.43200363181631,183.1712359303997,38520015.19589853
2024-05-19,183.40937277888634,185.06602538608468,181.6219781597929,183.36150285125314,38455716.45986009
2024-05-20,183.60034629000938,185.25719672205742,181.81195268776992,183.55176977210613,38391417.7238214
2024-05-21,183.79131980113243,185.4483680580306,182.0019272157465,183.74203669295912,38327118.98778272
2024-05-22,183.98229331225548,185.63953939400335,182.19190174372307,183.93230361381256,38262820.25174427
2024-05-23,184.17326682337853,185.83071072997654,182.38187627169964,184.12257053466556,38198521.515705585
2024-05-24,184.36424033450157,186.02188206594928,182.5718507996762,184.312837455519,38134222.7796669
2024-05-25,184.55521384562462,186.21305340192248,182.7618253276528,184.503104376372,38069924.043628216
2024-05-26,184.74618735674767,186.40422473789522,182.95179985562982,184.69337129722499,38005625.30758977
2024-05-27,184.93716086787072,186.59539607386841,183.1417743836064,184.88363821807843,37941326.571551085
2024-05-28,185.12813437899376,186.78656740984115,183.33174891158296,185.07390513893142,37877027.8355124
2024-05-29,185.3191078901168,186.97773874581435,183.52172343955954,185.2641720597844,37812729.099473715
2024-05-30,185.51008140123986,187.1689100817871,183.7116979675361,185.45443898063786,37748430.36343527
2024-05-31,185.7010549123629,187.36008141776028,183.90167249551268,185.64470590149085,37684131.62739658
2024-06-01,185.89202842348595,187.55125275373302,184.09164702348926,185.83497282234384,37619832.8913579
